"Hostname: xiaomimi-solus"
"Phidget: 647540"
"Name: Example"
"Tag(s) or info: "
"Label: demo2"
"Poll rate: 0.2s"
"Program initialization: 2021-11-07 06:44:21"
"Scheduled to record until: 2021-11-07 06:49:00"
"chan0 to chan3: K-type thermocouples"
"chan4: internal temperature"

"time","chan0","chan1","chan2","chan3","chan4"
"2021-11-07 06:44:57.009015","23.6761","22.9555","23.0712","23.1615","24.728"
"2021-11-07 06:44:57.209359","23.6737","22.938","23.0712","23.1615","24.728"
"2021-11-07 06:44:57.409782","23.6737","22.938","23.0712","23.1346","24.728"
"2021-11-07 06:44:57.610218","23.6793","22.9363","23.0891","23.1381","24.7316"
"2021-11-07 06:44:57.810504","23.6723","22.9441","23.0796","23.1479","24.7316"
"2021-11-07 06:44:58.010919","23.6717","22.971","23.0863","23.1479","24.7316"
"2021-11-07 06:44:58.211479","23.6633","22.971","23.0863","23.1571","24.731"
"2021-11-07 06:44:58.412025","23.6633","22.9724","23.0926","23.1633","24.7331"
"2021-11-07 06:44:58.612528","23.6591","22.9556","23.0852","23.1486","24.7323"
"2021-11-07 06:44:58.813076","23.6593","22.9733","23.0788","23.1715","24.7323"
"2021-11-07 06:44:59.013511","23.6796","22.9816","23.0788","23.1715","24.7308"
"2021-11-07 06:44:59.213909","23.6796","22.9816","23.0869","23.1381","24.7316"
"2021-11-07 06:44:59.414564","23.652","22.9683","23.0861","23.1576","24.7315"
"2021-11-07 06:44:59.615112","23.6649","22.959","23.0844","23.1332","24.7315"
"2021-11-07 06:44:59.815518","23.6454","22.959","23.0844","23.1332","24.7315"
"2021-11-07 06:45:00.016020","23.6561","22.959","23.0844","23.1283","24.7315"
"2021-11-07 06:45:00.216513","23.6561","22.955","23.0707","23.1366","24.7286"
"2021-11-07 06:45:00.417053","23.6377","22.9536","23.0846","23.1504","24.7292"
"2021-11-07 06:45:00.617510","23.6651","22.9592","23.0724","23.1431","24.7292"
"2021-11-07 06:45:00.818041","23.6491","22.9653","23.0661","23.1431","24.7292"
"2021-11-07 06:45:01.018427","23.6377","22.9653","23.0661","23.1442","24.7278"
"2021-11-07 06:45:01.219113","23.6377","22.9536","23.0913","23.123","24.7286"
"2021-11-07 06:45:01.419521","23.6499","22.9511","23.0808","23.1125","24.7278"
"2021-11-07 06:45:01.620070","23.624","22.9396","23.0752","23.1435","24.7278"
"2021-11-07 06:45:01.820356","23.6157","22.9536","23.0752","23.1435","24.7271"
"2021-11-07 06:45:02.020776","23.6157","22.9536","23.0791","23.1303","24.7286"
"2021-11-07 06:45:02.221246","23.6157","22.9461","23.0816","23.1345","24.7279"
"2021-11-07 06:45:02.421678","23.6516","22.9672","23.0753","23.1412","24.7272"
"2021-11-07 06:45:02.622092","23.6109","22.9462","23.0841","23.1412","24.7272"
"2021-11-07 06:45:02.822555","23.6385","22.9462","23.0841","23.1231","24.7287"
"2021-11-07 06:45:03.023079","23.6385","22.957","23.0824","23.1239","24.7295"
"2021-11-07 06:45:03.223368","23.6312","22.942","23.0863","23.1302","24.731"
"2021-11-07 06:45:03.423952","23.6222","22.9653","23.0832","23.11","24.731"
"2021-11-07 06:45:03.624526","23.6255","22.9511","23.0832","23.11","24.7303"
"2021-11-07 06:45:03.824934","23.6255","22.9511","23.0791","23.1523","24.7311"
"2021-11-07 06:45:04.025384","23.6425","22.9661","23.0718","23.1335","24.7318"
"2021-11-07 06:45:04.225843","23.6066","22.9601","23.0684","23.1294","24.7326"
"2021-11-07 06:45:04.426288","23.6108","22.9411","23.0742","23.1294","24.7326"
"2021-11-07 06:45:04.626709","23.6133","22.9236","23.0742","23.1352","24.7311"
"2021-11-07 06:45:04.827123","23.6133","22.9236","23.0718","23.1279","24.7326"
"2021-11-07 06:45:05.027540","23.6025","22.9576","23.0928","23.1342","24.7326"
"2021-11-07 06:45:05.228124","23.6399","22.9609","23.074","23.1545","24.7326"
"2021-11-07 06:45:05.428392","23.6139","22.9492","23.087","23.1545","24.7334"
"2021-11-07 06:45:05.628968","23.6124","22.9492","23.087","23.1407","24.7342"
"2021-11-07 06:45:05.829681","23.6124","22.9477","23.0856","23.15","24.7312"
"2021-11-07 06:45:06.030455","23.606","22.9377","23.0685","23.1368","24.7327"
"2021-11-07 06:45:06.230939","23.5856","22.9652","23.0856","23.1343","24.7327"
"2021-11-07 06:45:06.431359","23.5929","22.9652","23.0856","23.1343","24.7327"
"2021-11-07 06:45:06.631807","23.5929","22.9652","23.0929","23.1148","24.732"
"2021-11-07 06:45:06.832235","23.5922","22.942","23.0727","23.119","24.732"
"2021-11-07 06:45:07.032523","23.6117","22.9581","23.0664","23.1372","24.7306"
"2021-11-07 06:45:07.233070","23.5975","22.9424","23.0706","23.1372","24.7306"
"2021-11-07 06:45:07.433541","23.5984","22.9424","23.0706","23.1316","24.7299"
"2021-11-07 06:45:07.633949","23.5984","22.9509","23.074","23.118","24.7284"
"2021-11-07 06:45:07.834511","23.6082","22.9259","23.0699","23.1333","24.7291"
"2021-11-07 06:45:08.034920","23.565","22.9316","23.065","23.1235","24.7291"
"2021-11-07 06:45:08.235340","23.5942","22.9016","23.065","23.1235","24.7291"
"2021-11-07 06:45:08.435915","23.5838","22.9016","23.0772","23.1089","24.7284"
"2021-11-07 06:45:08.636333","23.5838","22.9334","23.0716","23.1099","24.7276"
"2021-11-07 06:45:08.836710","23.5781","22.9376","23.066","23.1269","24.7276"
"2021-11-07 06:45:09.037110","23.5627","22.9443","23.0749","23.1269","24.7276"
"2021-11-07 06:45:09.237489","23.5537","22.9325","23.0749","23.1359","24.7268"
"2021-11-07 06:45:09.438031","23.5537","22.9325","23.061","23.1439","24.7267"
"2021-11-07 06:45:09.638457","23.5651","22.9392","23.0727","23.1068","24.7295"
"2021-11-07 06:45:09.839027","23.5735","22.9153","23.0783","23.1296","24.7295"
"2021-11-07 06:45:10.039353","23.5522","22.9235","23.0644","23.1296","24.7303"
"2021-11-07 06:45:10.239666","23.5824","22.9235","23.0644","23.1132","24.731"
"2021-11-07 06:45:10.440262","23.5824","22.9545","23.0678","23.1134","24.7287"
"2021-11-07 06:45:10.640693","23.567","22.9437","23.0695","23.1158","24.7287"
"2021-11-07 06:45:10.841151","23.5555","22.9194","23.0653","23.1116","24.7287"
"2021-11-07 06:45:11.041748","23.5642","22.9358","23.0653","23.1116","24.7294"
"2021-11-07 06:45:11.242229","23.5642","22.9358","23.0642","23.1081","24.73"
"2021-11-07 06:45:11.442641","23.5829","22.9325","23.0698","23.138","24.7315"
"2021-11-07 06:45:11.643076","23.5234","22.944","23.0673","23.1259","24.7315"
"2021-11-07 06:45:11.843834","23.5544","22.9233","23.0764","23.1259","24.7315"
"2021-11-07 06:45:12.044367","23.5455","22.9233","23.0764","23.1057","24.7308"
"2021-11-07 06:45:12.244843","23.5455","22.9491","23.0674","23.1162","24.7316"
"2021-11-07 06:45:12.445304","23.5625","22.9298","23.0803","23.134","24.7323"
"2021-11-07 06:45:12.645530","23.5616","22.9356","23.0738","23.1177","24.7323"
"2021-11-07 06:45:12.846078","23.5664","22.9506","23.0738","23.1177","24.7331"
"2021-11-07 06:45:13.046589","23.5501","22.9506","23.0689","23.142","24.7339"
"2021-11-07 06:45:13.247336","23.5501","22.9214","23.0623","23.116","24.7339"
"2021-11-07 06:45:13.447772","23.5794","22.9447","23.0875","23.1412","24.7347"
"2021-11-07 06:45:13.648220","23.5196","22.9151","23.0684","23.1412","24.7347"
"2021-11-07 06:45:13.848639","23.5318","22.9276","23.0684","23.105","24.7326"
"2021-11-07 06:45:14.049051","23.5318","22.9276","23.0781","23.1311","24.7319"
"2021-11-07 06:45:14.249384","23.5336","22.9269","23.0814","23.1082","24.7334"
"2021-11-07 06:45:14.449823","23.5504","22.9292","23.0675","23.1139","24.7334"
"2021-11-07 06:45:14.650250","23.5212","22.9392","23.0602","23.1139","24.7342"
"2021-11-07 06:45:14.850731","23.5034","22.9392","23.0602","23.1212","24.7335"
"2021-11-07 06:45:15.051325","23.5034","22.921","23.0717","23.1124","24.7327"
"2021-11-07 06:45:15.251581","23.5148","22.9285","23.0595","23.0839","24.7335"
"2021-11-07 06:45:15.452128","23.5358","22.9267","23.087","23.126","24.7335"
"2021-11-07 06:45:15.652525","23.5346","22.9455","23.087","23.126","24.7342"
"2021-11-07 06:45:15.853070","23.5346","22.9455","23.0663","23.1078","24.7355"
"2021-11-07 06:45:16.053384","23.5102","22.928","23.0656","23.107","24.7347"
"2021-11-07 06:45:16.253968","23.53","22.9207","23.0787","23.1202","24.7332"
"2021-11-07 06:45:16.454347","23.5007","22.9232","23.0665","23.1202","24.7332"
"2021-11-07 06:45:16.655126","23.5129","22.9232","23.0665","23.0982","24.7332"
"2021-11-07 06:45:16.855811","23.5129","22.9282","23.069","23.1269","24.7326"
"2021-11-07 06:45:17.056485","23.5318","22.9276","23.0757","23.1196","24.7326"
"2021-11-07 06:45:17.257208","23.5287","22.9144","23.058","23.1043","24.7326"
"2021-11-07 06:45:17.457940","23.5116","22.9269","23.058","23.1043","24.7319"
"2021-11-07 06:45:17.658386","23.5026","22.9269","23.0653","23.097","24.7327"
"2021-11-07 06:45:17.858824","23.5026","22.9202","23.0628","23.1165","24.7319"
"2021-11-07 06:45:18.059253","23.5206","22.9236","23.0523","23.1181","24.7311"
"2021-11-07 06:45:18.259687","23.5052","22.9103","23.071","23.1271","24.7311"
